TransactionID,IpAddress,PhoneNo,DeviceID
f9980c5d-e8bf-4431-9ddf-15b4e7a9d7ff,104.32.122.67,7993004217,0657817920030
011955b3-14fa-4342-85f4-3a9c3759b7d7,164.180.250.14,6712423669,8984812524268
a61677ac-a0cb-4113-9409-87bcfe7e6e44,99.31.120.70,+1-353-046-6749x00004,3092060466768
f46e41fc-5d06-4f60-b730-a5d7ecec90f1,10.225.43.49,125-534-6633x1775,2516617099683
4cc7b6f5-9579-4149-80d8-8cb6c807ee6c,218.46.8.47,(374)448-9917,7683358940269
fc1559d1-ff92-46ec-8b3a-ca731732e40a,70.145.156.232,2267370339,7642343945037
9e845c4d-f2e8-4895-afe1-baca2ad49122,188.8.163.177,001-890-762-8482,8525511099636
15f6b207-797c-4cf3-8442-431f6a569e31,7.94.212.14,080.331.0036x56395,1014468692780
133d215f-d4f7-4157-a545-e6c4158a7a2c,22.5.151.39,(178)526-8270x80433,8827208275142
4e230590-9ed7-457e-9a7d-990721b79c0d,80.223.123.237,+1-411-151-3678x945,1834657864867
34eebb76-42fb-4599-9cdf-23cb67ec4cd2,214.145.44.224,716-321-6196,7334815566453
d9f4e9fc-e964-4b4f-b3d5-3f0c5f2173ee,92.57.133.1,696-402-8592,6309776170520
13f14b5d-9370-4d03-bb5d-d1fdba2c51a7,35.92.221.231,+1-116-089-2409x292,0195170817194
7b3332d1-6efe-481b-ac43-ceb184d993bc,43.249.163.52,+1-754-015-1551x41250,6579201283881
f4baf984-4243-4617-b353-52c56ef3e437,56.115.178.107,817.040.8543x224,1981768052556
c3d93ad0-aa1b-4a64-bb7c-6e628d1acfab,116.97.17.166,949-603-0009,3589735082382
efb5e1a4-ee30-47f1-aedb-8815fd0895bc,91.173.52.179,844.101.1440x064,3931744318936
46e1bc60-7881-4172-bfd0-20ea47514fd5,30.249.75.107,(461)922-8649,1000393108030
13356265-2e43-4861-a3ab-5b9fab2d27b2,142.79.163.234,8911073357,0740725848895
16f768be-2de1-49d5-b651-8b019cbe2cca,105.38.216.103,+1-794-405-1947x22997,5716984761138
5f3cf755-d69a-438c-a974-5ad6d240f778,194.195.239.14,866.705.1500x493,3479442139126
b267016a-2bb9-4f48-b178-95c66845ac7f,194.1.62.141,383.750.5410x643,3521543858490
47596932-ae7e-404a-9be5-d6271efc11f3,81.175.224.83,+1-308-664-4079x9547,6062406281707
2bb27b49-55ae-427e-8270-05f706297cae,65.33.240.229,+1-755-297-5746x290,2494512185389
a3325c02-695a-4c51-aea8-8b6ceae16f88,74.42.146.163,037-078-4761,4598744623914
cf63a2f2-7203-4dcf-b7f0-4472a7b19ca1,160.58.144.1,580.781.0762,6754850672420
5c2cd50b-0b4a-40eb-aa37-e25b22e87217,222.41.195.245,001-382-539-7085x4255,4287959752175
d158e8d8-b006-4a45-8c4b-4741ea5e650c,174.193.150.149,0610896015,4849753109037
8fdcf22e-6161-4014-9e58-b223ef46d29a,24.242.93.132,(705)198-2188x413,0011548326283
0b9f4d70-9852-4bd4-b31b-724463c1562d,182.61.174.193,742.610.2177,4205530282792
